NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_ERR,L0B_ERR,R0B_ERR,L5_ERR,L0G_ERR,R0G_ERR,L4_ERR,L0R_ERR,R0R_ERR,L3_ERR,L2_ERR,L1_ERR,R1_ERR,R2_ERR,R3_ERR,R4_ERR,R5_ERR,R6_ERR,LAB_SPECTRUM_TYPE
Talc-GDS23,black,lab spectrum,0,IOF,0.488624106,0.513156503,0.513156503,0.545553386,0.545138937,0.545138937,0.556599757,0.556547969,0.556547969,0.561891462,0.562886665,0.561846,0.561846,0.561991269,0.563350568,0.557176553,0.571974689,0.574100639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Pumpellyite-purityUnknown,black,lab spectrum,0,IOF,0.489022502,0.526925076,0.526925076,0.596477814,0.590189989,0.590189989,0.600975866,0.582623155,0.582623155,0.565666749,0.57835822,0.570870484,0.570870484,0.547857935,0.53985254,0.533574529,0.532532745,0.526723624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Ferricopiapite,black,lab spectrum,0,IOF,0.16330001,0.349022372,0.349022372,0.531398898,0.54510469,0.54510469,0.657102334,0.67181964,0.67181964,0.717168991,0.658654795,0.588493008,0.588493008,0.537092135,0.544181896,0.56908707,0.614587258,0.673527459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Coquimbite,black,lab spectrum,0,IOF,0.464187487,0.517825137,0.517825137,0.546034018,0.550304613,0.550304613,0.58807338,0.612572084,0.612572084,0.641387593,0.607931073,0.62125728,0.62125728,0.680461874,0.705904221,0.714017855,0.72982104,0.729497375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Melanterite,black,lab spectrum,0,IOF,0.650508673,0.741857592,0.741857592,0.826817632,0.827852099,0.827852099,0.852835167,0.826019571,0.826019571,0.789594194,0.716016307,0.649652745,0.649652745,0.566628941,0.537869382,0.531309141,0.531365505,0.538878723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Olivine Fo90,black,lab spectrum,0,IOF,0.664859627,0.692318272,0.692318272,0.736090368,0.737278739,0.737278739,0.751428049,0.744549738,0.744549738,0.744872589,0.700135104,0.654855132,0.654855132,0.614301802,0.591559431,0.566664518,0.523496999,0.488199311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Kieserite,black,lab spectrum,0,IOF,0.521777605,0.544382086,0.544382086,0.570823263,0.583287405,0.583287405,0.633469444,0.639243883,0.639243883,0.657270141,0.675223708,0.679746543,0.679746543,0.687249705,0.689419655,0.690144643,0.687125343,0.68014476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Lizardite,black,lab spectrum,0,IOF,0.33776791,0.405125911,0.405125911,0.510383396,0.521698362,0.521698362,0.604325524,0.606296889,0.606296889,0.63116118,0.671699991,0.704866243,0.704866243,0.697416007,0.682536617,0.667187137,0.670437132,0.65660145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Dolomite,black,lab spectrum,0,IOF,0.701296885,0.699530243,0.699530243,0.705596394,0.705033156,0.705033156,0.707658506,0.707119122,0.707119122,0.710662218,0.714544095,0.719506503,0.719506503,0.716595906,0.703279066,0.689698015,0.683369788,0.674210834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Prehnite,black,lab spectrum,0,IOF,0.715485504,0.722069443,0.722069443,0.733837754,0.733218549,0.733218549,0.735278159,0.732962239,0.732962239,0.732518376,0.732694834,0.738558307,0.738558307,0.741362394,0.736288645,0.731840843,0.73689992,0.732180609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
