NAME,COLOR,FEATURE,INCIDENCE_ANGLE,UNITS,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_ERR,R2_ERR,L0B_ERR,R0B_ERR,L1_ERR,R1_ERR,R0G_ERR,L0G_ERR,R0R_ERR,L0R_ERR,L4_ERR,L3_ERR,R3_ERR,L5_ERR,R4_ERR,R5_ERR,L6_ERR,R6_ERR,LAB_SPECTRUM_TYPE
Lizardite,black,lab spectrum,0,IOF,0.363669474,0.363669474,0.4352927726,0.4352927726,0.5099644663,0.5099644663,0.5376878346,0.5376878346,0.6127492283,0.6127492283,0.6309732766,0.6703649193,0.7051223279,0.6899938386,0.6824780772,0.666511423,0.6583819319,0.6583819319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Maghemite,black,lab spectrum,0,IOF,0.0315785531,0.0315785531,0.0246789322,0.0246789322,0.0320572731,0.0320572731,0.0461881268,0.0461881268,0.1188471814,0.1188471814,0.160870855,0.2461347653,0.2603489156,0.2487977274,0.2425273699,0.2365303382,0.2379149302,0.2379149302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Magnesite,black,lab spectrum,0,IOF,0.7624565406,0.7624565406,0.7837745547,0.7837745547,0.7883121423,0.7883121423,0.7952233094,0.7952233094,0.800598041,0.800598041,0.8042988488,0.799076963,0.8041161657,0.7947889245,0.793977033,0.7888298412,0.7881174577,0.7881174577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Magnetite,black,lab spectrum,0,IOF,0.0586792816,0.0586792816,0.057916316,0.057916316,0.0574325037,0.0574325037,0.0579098008,0.0579098008,0.0580293348,0.0580293348,0.0580230097,0.0558186181,0.0540817649,0.0513281518,0.0489992036,0.0475863103,0.0449437944,0.0449437944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Maskelynite,black,lab spectrum,0,IOF,0.1642886188,0.1642886188,0.172257972,0.172257972,0.1767920054,0.1767920054,0.1772260622,0.1772260622,0.178079812,0.178079812,0.1797311971,0.1765737062,0.1646497948,0.1449484151,0.1392460083,0.1394080665,0.153734788,0.153734788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feldspar
Melanterite,black,lab spectrum,0,IOF,0.6562219699,0.6562219699,0.7692295539,0.7692295539,0.8222237238,0.8222237238,0.8358433627,0.8358433627,0.8258577265,0.8258577265,0.7916587779,0.719424199,0.6448818057,0.56646025,0.5400898193,0.5344375951,0.5414380991,0.5414380991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
MgPerchlorate,black,lab spectrum,0,IOF,0.9273738652,0.9273738652,0.9414911728,0.9414911728,0.9455719257,0.9455719257,0.9480153482,0.9480153482,0.9522155357,0.9522155357,0.9524810172,0.9472973116,0.9504092305,0.9479138042,0.9453493202,0.9336277568,0.9311867181,0.9311867181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perchlorate
MnO,black,lab spectrum,0,IOF,0.0302981136,0.0302981136,0.030405393,0.030405393,0.0314449495,0.0314449495,0.0324504674,0.0324504674,0.0365609991,0.0365609991,0.0388675343,0.0446679137,0.0489369997,0.0524947289,0.0537500667,0.0544200701,0.0569602297,0.0569602297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxide
Montmorillonite,black,lab spectrum,0,IOF,0.5774211415,0.5774211415,0.6289687932,0.6289687932,0.6656324496,0.6656324496,0.6806576653,0.6806576653,0.7015600018,0.7015600018,0.7119733467,0.7310665328,0.7406301843,0.7322628968,0.7308483414,0.7245849083,0.7328721357,0.7328721357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Nontronite,black,lab spectrum,0,IOF,0.097573303,0.097573303,0.1654732033,0.1654732033,0.2465842686,0.2465842686,0.2779055474,0.2779055474,0.3259282326,0.3259282326,0.3489022223,0.4540090108,0.4496939855,0.3984798079,0.3786133737,0.3716271614,0.4033613152,0.4033613152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Obsidian,black,lab spectrum,0,IOF,0.3161274666,0.3161274666,0.3339406243,0.3339406243,0.3367905004,0.3367905004,0.3422136976,0.3422136976,0.3605545231,0.3605545231,0.3680539904,0.3657928375,0.3578816347,0.3423924427,0.3285846906,0.3213991117,0.3036849096,0.3036849096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amorphous
Olivine Fo1,black,lab spectrum,0,IOF,0.1629131126,0.1629131126,0.2025001229,0.2025001229,0.2411934441,0.2411934441,0.256761825,0.256761825,0.2956198769,0.2956198769,0.3083074016,0.3057226961,0.2886584135,0.2549487012,0.2362572308,0.2239587758,0.1970960488,0.1970960488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Olivine Fo66,black,lab spectrum,0,IOF,0.3081215751,0.3081215751,0.3592306479,0.3592306479,0.4068208737,0.4068208737,0.4284886017,0.4284886017,0.469712604,0.469712604,0.4881724072,0.4216515891,0.3462226933,0.2737324866,0.2534696479,0.232905303,0.1857776298,0.1857776298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Olivine Fo90,black,lab spectrum,0,IOF,0.6636576604,0.6636576604,0.7037385384,0.7037385384,0.7332223244,0.7332223244,0.7422118418,0.7422118418,0.7458809908,0.7458809908,0.7455517991,0.7025752959,0.6521403184,0.6140192908,0.593381504,0.5701760577,0.4946275279,0.4946275279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Olivine Fo97,black,lab spectrum,0,IOF,0.6948586823,0.6948586823,0.7259782112,0.7259782112,0.7476255289,0.7476255289,0.7555557828,0.7555557828,0.7767446054,0.7767446054,0.7829566036,0.7692364703,0.7478275655,0.7277055992,0.7174934169,0.7043429845,0.657890167,0.657890167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olivine
Pigeonite,black,lab spectrum,0,IOF,0.0825923022,0.0825923022,0.085356205,0.085356205,0.0880740844,0.0880740844,0.0905748537,0.0905748537,0.1036758142,0.1036758142,0.1129683657,0.1298566827,0.1100264058,0.0745651968,0.0667767333,0.067400476,0.1004352645,0.1004352645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pyroxene
Plagioclase,black,lab spectrum,0,IOF,0.2657484674,0.2657484674,0.2708176758,0.2708176758,0.2748695254,0.2748695254,0.2792556035,0.2792556035,0.2982554982,0.2982554982,0.308982939,0.3227684207,0.3300196396,0.3306591396,0.3291827217,0.3271536873,0.3122133954,0.3122133954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feldspar
Plagioclase LAPL38 - FELD,black,lab spectrum,0,IOF,0.7635556759,0.7635556759,0.7768542523,0.7768542523,0.7808039857,0.7808039857,0.7834040009,0.7834040009,0.7892600146,0.7892600146,0.7911071145,0.7915650016,0.7928528038,0.7925472073,0.789350572,0.7898832293,0.789410701,0.789410701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feldspar
Prehnite,black,lab spectrum,0,IOF,0.7031281821,0.7031281821,0.7255082006,0.7255082006,0.7295980146,0.7295980146,0.7349447889,0.7349447889,0.7336783611,0.7336783611,0.7332488299,0.7329115252,0.7386681237,0.7351507805,0.7361452822,0.7323718538,0.7339033375,0.7339033375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Pumpellyite-purityUnknown,black,lab spectrum,0,IOF,0.4895310746,0.4895310746,0.5440002781,0.5440002781,0.5917418118,0.5917418118,0.5968679612,0.5968679612,0.583090504,0.583090504,0.5664245893,0.5780780124,0.5693067595,0.5430778617,0.5400251174,0.5345288325,0.5286441373,0.5286441373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydrated Silicate
Pyrite,black,lab spectrum,0,IOF,0.0387242136,0.0387242136,0.0431506453,0.0431506453,0.046002762,0.046002762,0.0467100461,0.0467100461,0.0482747954,0.0482747954,0.0489322213,0.0478353536,0.0455423742,0.0430307368,0.0420464879,0.0416886676,0.0418395263,0.0418395263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Pyrrhotite,black,lab spectrum,0,IOF,0.0373927542,0.0373927542,0.0398569861,0.0398569861,0.048171451,0.048171451,0.0571236722,0.0571236722,0.0715273368,0.0715273368,0.0737331033,0.0778873986,0.0790149003,0.0793969605,0.0783744065,0.0773372376,0.0779915976,0.0779915976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Rhomboclase,black,lab spectrum,0,IOF,0.7036651041,0.7036651041,0.7503881075,0.7503881075,0.7612684851,0.7612684851,0.7741366145,0.7741366145,0.812802058,0.812802058,0.8260532289,0.8177850559,0.816741728,0.8245184881,0.8307669963,0.8351399928,0.853483103,0.853483103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Rozenite,black,lab spectrum,0,IOF,0.1696972925,0.1696972925,0.1772674756,0.1772674756,0.1851529901,0.1851529901,0.1900533973,0.1900533973,0.2084480622,0.2084480622,0.2171819737,0.2319940787,0.2389153954,0.2428528603,0.2450301178,0.2465323836,0.2544893791,0.2544893791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Saponite,black,lab spectrum,0,IOF,0.5762847496,0.5762847496,0.6740806102,0.6740806102,0.7513377642,0.7513377642,0.7652111261,0.7652111261,0.8055971641,0.8055971641,0.8254792678,0.8487930648,0.8524330882,0.8292901941,0.8199855903,0.7950802024,0.7952534897,0.7952534897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Phyllosilicate
Schwertmannite,black,lab spectrum,0,IOF,0.0387586999,0.0387586999,0.0354066523,0.0354066523,0.0507494821,0.0507494821,0.079266571,0.079266571,0.1912881415,0.1912881415,0.2416633283,0.3028414305,0.3025770898,0.2877557707,0.2839200705,0.2823907835,0.3056552828,0.3056552828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
Siderite,black,lab spectrum,0,IOF,0.0526256232,0.0526256232,0.0573131136,0.0573131136,0.0662268119,0.0662268119,0.079419844,0.079419844,0.1236630276,0.1236630276,0.1440610703,0.1774238813,0.184785075,0.1538710788,0.1307759068,0.1146880471,0.0972923816,0.0972923816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbonate
Sinjarite,black,lab spectrum,0,IOF,0.9348488541,0.9348488541,0.9543350289,0.9543350289,0.9549818334,0.9549818334,0.9552721496,0.9552721496,0.9574388845,0.9574388845,0.9606415118,0.9562023572,0.9537564495,0.9532886942,0.9531109817,0.9470998722,0.9300660982,0.9300660982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloride
Starkeyite,black,lab spectrum,0,IOF,0.8924014068,0.8924014068,0.909061318,0.909061318,0.9062473096,0.9062473096,0.9070424696,0.9070424696,0.9049807972,0.9049807972,0.9053469913,0.8977677192,0.8995717355,0.8965511029,0.8887708375,0.877327098,0.853933751,0.853933751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfate
