name,sol,ltst,seq_id,target_elevation,tau,focal_distance,incidence_angle,emission_angle,phase_angle,lat,lon,sclk,color,feature,formation,member,L2,R2,L0B,R0B,L1,R1,R0G,L0G,R0R,L0R,L4,L3,R3,L5,R4,R5,L6,R6,L2_err,R2_err,L0B_err,R0B_err,L1_err,R1_err,R0G_err,L0G_err,R0R_err,L0R_err,L4_err,L3_err,R3_err,L5_err,R4_err,R5_err,L6_err,R6_err
Photom east,397,12:14:27,mcam01637,-4513.7916,0.67569,42.572,14.7583,75.5522,69.448318,-4.607217,137.42628,,light blue,dusty rock,Bradbury Group,,0.0791109,,,,0.122962,,,,,,,0.28798,,,,,0.295028,,0.00492401,,,,0.00869194,,,,,,,0.025209,,,,,0.0238126,
Photom east,397,12:14:27,mcam01637,-4513.7916,0.67569,42.572,14.7583,75.5522,69.448318,-4.607217,137.42628,,red,undisturbed soil,,,0.0595556,,,,0.0992018,,,,,,,0.298,,,,,0.320185,,0.00323984,,,,0.00576711,,,,,,,0.0127972,,,,,0.0132176,
Glenelg,48,16:24:42,mcam00216,,0.793704,,66.4204,88.2346,154.43304,-4.590301,137.446,,light blue,dusty rock,Bradbury Group,,0.0328475,,0.0605563,0.0698957,0.099931,,0.148927,0.133505,0.298547,0.265831,,0.362301,,,,,0.34708,0.401822,0.0006708,,0.00267529,0.00324577,0.00246852,,0.00574883,0.0047546,0.0166495,0.0122233,,0.0192058,,,,,0.028173,0.0325149
Glenelg,48,16:24:42,mcam00216,,0.793704,,66.4204,88.2346,154.43304,-4.590301,137.446,,red,undisturbed soil,,,0.029747,,0.0573132,0.0738034,0.0949131,,0.162683,0.131234,0.351588,0.28021,,0.408709,,,,,0.407731,0.52226,0.000892932,,0.00214669,0.0038464,0.00327731,,0.00737049,0.00473595,0.0146041,0.00826906,,0.0116131,,,,,0.010672,0.0196736
Middleton,1876,12:05:35,mcam09814,-4168.6064,0.36051,5.187,29.8002,65.3126,55.568589,-4.7268914,137.37439,,dark blue,dusty rock,Murray,Jura,0.0688322,0.0772677,0.100187,0.0988675,0.126526,0.136615,0.161084,0.163388,0.261562,0.271245,0.285889,0.312794,0.322697,0.307075,0.308845,0.308826,0.29621,0.292669,0.00359593,0.00319737,0.00586256,0.00565196,0.0059961,0.00512961,0.0073059,0.00888689,0.0116574,0.0103681,0.011377,0.0121393,0.0147418,0.0161209,0.0155552,0.0138658,0.016401,0.0127095
Middleton,1876,12:05:35,mcam09814,-4168.6064,0.36051,5.187,29.8002,65.3126,55.568589,-4.7268914,137.37439,,light blue,dusty rock,Murray,Jura,0.0556372,0.0724711,0.0803795,0.0952032,0.105226,0.125283,0.156859,0.137562,0.261229,0.232918,0.256931,0.285927,0.337246,0.287426,0.327927,0.329428,0.279076,0.320037,0.00456518,0.00882355,0.00706304,0.0124552,0.00646649,0.0122548,0.0149093,0.00865549,0.0221914,0.0125845,0.0109362,0.0126385,0.0262629,0.0160596,0.030267,0.0310372,0.0158919,0.0287395
Middleton,1876,12:05:35,mcam09814,-4168.6064,0.36051,5.187,29.8002,65.3126,55.568589,-4.7268914,137.37439,,pink,,Murray,Jura,0.0539564,0.0642397,0.0670294,0.0715193,0.0761225,0.0835139,0.0975953,0.0944104,0.146911,0.142119,0.153535,0.174643,0.18306,0.167067,0.174175,0.174386,0.160344,0.166075,0.00648904,0.0104218,0.0111699,0.0131577,0.00960367,0.0133204,0.016884,0.013171,0.0237675,0.0185186,0.016525,0.0177411,0.0265477,0.0196603,0.025499,0.025979,0.0173705,0.0232657
Middleton,1876,12:05:35,mcam09814,-4168.6064,0.36051,5.187,29.8002,65.3126,55.568589,-4.7268914,137.37439,,red,undisturbed soil,,,0.0397231,0.0465815,0.056068,0.0558754,0.0697629,0.0718014,0.0847856,0.086701,0.132171,0.13973,0.150427,0.159734,0.154779,0.156337,0.149284,0.145599,0.149025,0.142993,0.000939706,0.00260009,0.00296916,0.00540208,0.00215917,0.00449149,0.00653583,0.00299507,0.0104266,0.0053218,0.00868753,0.00678945,0.0116605,0.00913073,0.0130044,0.0137893,0.0101113,0.0155707
Middleton,1876,12:05:35,mcam09814,-4168.6064,0.36051,5.187,29.8002,65.3126,55.568589,-4.7268914,137.37439,,teal,dusty rock,Murray,Jura,0.0448102,0.0543164,0.0610314,0.0652781,0.0743038,0.0813605,0.0996933,0.0949322,0.16165,0.158657,0.170626,0.192353,0.203717,0.189035,0.198063,0.198124,0.181697,0.192847,0.00363255,0.00612582,0.00814981,0.0100798,0.00697505,0.0101503,0.0144301,0.0103018,0.0230129,0.0162451,0.016449,0.0173911,0.0288421,0.0218244,0.0296657,0.0298887,0.0203808,0.0282265
Photom east 2x1,60,16:47:43,mcam00276,-4521.794,0.717369,20.696,71.905,73.5693,70.946432,-4.589996,137.44834,,light blue,dusty rock,Yellowknife Bay,Glenelg,0.144376,,,,0.221552,,,,,,,0.547664,,,,,0.552407,,0.00459528,,,,0.00570975,,,,,,,0.0206547,,,,,0.025273,
